*Time,*Loop,*Phase,*Blockloop,*PowerMode,*Send_CMD,*Receive_CMD
2023/12/01 11:36:26:6770,0,A-1,0,NULL,FA 52 01 05 01,FA 01 04 01 54 0D 0A
2023/12/01 11:36:26:7070,,,,NULL,FA 52 03 05 01,FA 03 04 01 34 0D 0A
2023/12/01 11:36:26:7155,,,,NULL,FA 52 02 05 01,FA 02 04 01 18 0D 0A
2023/12/01 11:36:29:7011,,,,NULL,FA 52 01 05 01,FA 01 04 01 50 0D 0A
2023/12/01 11:36:29:7162,,,,NULL,FA 52 03 05 01,FA 03 04 01 4C 0D 0A
2023/12/01 11:36:29:7320,0,A-1,0,NULL,FA 52 02 05 01,FA 02 04 01 28 0D 0A
2023/12/01 11:36:32:7849,,,,NULL,FA 52 01 05 01,FA 01 04 05 54 0D 0A
2023/12/01 11:36:32:8126,,,,NULL,FA 52 03 05 01,FA 03 04 01 14 0D 0A
2023/12/01 11:36:32:8308,0,A-1,0,NULL,FA 52 02 05 01,FA 02 04 01 20 0D 0A
2023/12/01 11:36:35:8332,,,,NULL,FA 52 01 05 01,FA 01 04 01 08 0D 0A
2023/12/01 11:36:35:8404,,,,NULL,FA 52 03 05 01,FA 03 04 01 0C 0D 0A
2023/12/01 11:36:35:8608,0,A-1,0,NULL,FA 52 02 05 01,FA 02 04 01 48 0D 0A
2023/12/01 11:36:38:9829,,,,NULL,FA 52 01 05 01,FA 01 04 01 04 0D 0A
2023/12/01 11:36:38:9978,,,,NULL,FA 52 03 05 01,FA 03 04 01 24 0D 0A
2023/12/01 11:36:39:0126,0,A-1,0,NULL,FA 52 02 05 01,FA 02 04 01 3C 0D 0A
